,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
206,M/S RAJESH ENTERPRISES,HHS M20X80 GR 10.9 BLACK*,HEX HEAD,2005,239.9002494,Extra Heavy,481,24866.01,76210.05,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,11,0,0.140173529
207,UNIVERSAL PRECISION SCREWS,SHCS M12X140 12.9 H/T BLACK*,SHCS,700,135,Extra Heavy,94.5,24778.32,14413,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.657426964
208,VINAYAK ENTERPRISE,CSK M12  x  50 12.9 F/T BLACK *,CSK,1600,43,Heavy,68.8,24724.36,10496,JYOTI KAWATRA,CSK,ALLOY STEEL,14,0,0.757389401
209,UNIVERSAL PRECISION SCREWS,SHCS M10  x  30 12.9 F/T BLACK *,SHCS,6000,27.9,Heavy,167.4,24645.6,25500,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.610838743
210,BHARAT BOLT AGENCIES,SHCS M8  x  16 12.9 F/T BLACK *,SHCS,9800,12.1,Medium,118.58,24638.18,18718,JYOTI KAWATRA,SHCS,ALLOY STEEL,13,0,0.550736456
211,SANDEEP ENGINEERING,SHCS M4  x  16 10.9 F/T ZTVWP *,SHCS,20000,2.25,Extra Light,45,24600,12200,JYOTI KAWATRA,SHCS,ALLOY STEEL,13,0,0.341815389
212,SANGHVI ENTERPRISES,HHB M16X75 GR 10.9 BLACK*,HEX HEAD,1000,144.8,Extra Heavy,144.8,24539.11,23750,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.586208941
213,SANDEEP ENGINEERING,CSK M16X50 12.9 F/T BLACK*,CSK,1000,78.4,Heavy,78.4,24402,11960,JYOTI KAWATRA,CSK,ALLOY STEEL,14,0,0.737045508
214,NEHAL TOOLS,SHCS M3  x  10 12.9 F/T BLACK *,SHCS,12000,0.96,Extra Light,11.52,24206.4,1920,DEEPALI WALIA,SHCS,ALLOY STEEL,13,0,0.512801528
215,NEHAL TOOLS,SHCS M3  x  10 12.9 F/T BLACK *,SHCS,12000,0.96,Extra Light,11.52,24206.4,1920,DEEPALI WALIA,SHCS,ALLOY STEEL,13,0,0.512801528
216,BENSONS FASTNERS & PRECESSION ENGG,HHS M20X100 GR 10.9 BLACK*,HEX HEAD,500,281,Extra Heavy,140.5,24164.92,21905,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.218696179
217,MANOJ TRADERS,HHB M20X100 GR 10.9 BLACK*,HEX HEAD,500,299.2,Extra Heavy,149.6,24164.92,23420,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.139397066
218,DEV ENTERPRISE CORPORATION,HEX NUT M36X4 GR10*,NUT,279,398.2078853,Extra Heavy,111.1,24071.1,14329.44,DEEPALI WALIA,NUT,ALLOY STEEL,14,2,0.294261913
219,SANGHVI ENTERPRISES,SHCS M10  x  30 12.9 F/T BLACK *,SHCS,5000,27.9,Heavy,139.5,24044.13,21250,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.655951873
220,DIVIYA ENTERPRISES,HHS M10X35 GR 10.9 BLACK*,HEX HEAD,5000,28.12,Heavy,140.6,23842.5,24250,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.647112465
221,UNIVERSAL PRECISION SCREWS,SHCS M16  x  90 12.9 H/T BLACK *,SHCS,805,170.0124224,Extra Heavy,136.86,23786.46,20873.65,DEEPALI WALIA,SHCS,ALLOY STEEL,14,0,0.55637627
222,SAPANI FASTENERS,HHB M30X150 GR 10.9 BLACK*,HEX HEAD,95,1020.526316,Extra Heavy,96.95,23784.87,19809.4,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,2,0.476828499
223,VISHVA CORPORATION,HHB M24X220 GR 10.9 BLACK*,HEX HEAD,100,857.4,Extra Heavy,85.74,23588.02,14231,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,2,0.534526799
224,SWAROOP ENTERPRISE,HEX NUT M24X3 GR10*,NUT,1200,115.45,Extra Heavy,138.54,23571.72,17868,DEEPALI WALIA,NUT,ALLOY STEEL,14,0,0.655705722
225,POOJA LOGISTICS,CSK M6  x  20 12.9 F/T BLACK *,CSK,8000,4.46,Extra Light,35.68,23549.15,5520,DEEPALI WALIA,CSK,ALLOY STEEL,13,0,0.624321465
226,POOJA LOGISTICS,CSK M6  x  20 12.9 F/T BLACK *,CSK,8000,4.46,Extra Light,35.68,23549.15,5520,DEEPALI WALIA,CSK,ALLOY STEEL,13,0,0.624321465
227,MANOJ TRADERS,HEX NUT M20X2.5 GR10*,NUT,2000,64.6,Heavy,129.2,23342.6,16660,JYOTI KAWATRA,NUT,ALLOY STEEL,14,0,0.707769497
228,UNIVERSAL PRECISION SCREWS,HHS M24X55 GR 10.9 BLACK*,HEX HEAD,500,292.5,Extra Heavy,146.25,23335.2,26640,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.164716118
229,VIKAS INDUSTRIAL SUPPLERS PVT LTD,HEX NUT M10X1.5 GR8*,NUT,15000,11.6,Medium,174,23288.62,14250,DEEPALI WALIA,NUT,ALLOY STEEL,13,0,0.422523187
230,SSK TRADER,HHB M16X130 GR 10.9 BLACK*,HEX HEAD,500,228.7,Extra Heavy,114.35,23267.24,18075,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.424153604
231,MANOJ TRADERS,SHCS M16X160 12.9 H/T BLACK*,SHCS,200,282,Extra Heavy,56.4,23222.58,8602,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.245987725
232,SANGHVI FASTENERS,HHB 5/8 UNCX 6-1/2 GR 8 H/T BLACK*,HEX HEAD,400,275.075,Extra Heavy,110.03,23066.63,5284,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.271568747
233,SUNSHINE AGENCIES (INDIA) LLP,CSK M16X80 12.9 F/T BLACK*,CSK,500,114.26,Extra Heavy,57.13,22939.44,8710,DEEPALI WALIA,CSK,ALLOY STEEL,8,0,0.718357425
